Star-rating,Name,Reviewer Profile Url,Review Title,Text,images,profile icon,Date
3.0 out of 5 stars,Rasaramya.g,https://www.amazon.in/gp/customer-reviews/R8SMY3GT8ZZET/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Keyboard is not working properly,Keyboard is not working properly,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 8 October 2022
1.0 out of 5 stars,Amazon Customer,https://www.amazon.in/gp/customer-reviews/R3DSTE07YAOV31/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Monitor is flickering,Bought this product only 3 months back. Flickering of monitor started from first month. Now after three months frequency of monitor flickering is too much. I cannot work on this laptop. Its totally useless. Please replace this with a new laptop.,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 6 March 2023
4.0 out of 5 stars,Divyaansh Gupta,https://www.amazon.in/gp/customer-reviews/RK38CAUX30FUT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good General Purpose Laptop with Decent Build Quality,"Pros
1 Good Specifications
2 Decent Build Quality(Not the Best)
3 Great General Purpose Laptop
4 Speakers and Battery life are Very
Good
5 Good for Multi tasking (8gb ram)
6 Fast Boot time (256gb ssd)

Cons
1 Display Not the Best(But Decent)
2 Laptop hinge looks Weak
3 Not Recommended for Graphic and
Prossessiong intensive tasks(i3
2cores)
4 Poor Webcam Quality

* It does not come with Radeon Graphics
* HDD is 5400rpm",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 3 August 2021
5.0 out of 5 stars,Kannan,https://www.amazon.in/gp/customer-reviews/R1D2NJHRPEHNMD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good,Good computer,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 14 December 2022
3.0 out of 5 stars,Amazon Customer,https://www.amazon.in/gp/customer-reviews/R3DY5B9PNCS329/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, KAY'S not working.,"I am using this laptop for last 1 year, some of the keys not working properly.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 15 August 2022
3.0 out of 5 stars,JV4EVER,https://www.amazon.in/gp/customer-reviews/R19VYK5NSUSK7Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, I don't know why but It's Slow,All is well. Except this laptop is slow.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 3 September 2022
5.0 out of 5 stars,Sam,https://www.amazon.in/gp/customer-reviews/RKPTF2B3XAZWS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good for students and can play games with smooth 30 fps!!! Overall nice laptop.,"Nice laptop for kids having online classes and want to play some games. I would say it might not be the best gaming laptop but in the title it said FHD gaming laptop but now it doesn't. So i was confused but after a few processor speed changes it works really well, In fact i even play games like Fortnite, Valorant and some more with a constant 40-50 fps. So overall it is satisfying. And for the biggest question it has a battery life 5-6 hrs while attending online classes and can handle a game for like an hour.
One small disappointment was it came with a Intel UHD graphics which were a bit low compared to this laptop. Loving it since bought Its been 6 months since bought but no problem till now and its pretty sturdy material too so would suggest buying.","https://m.media-amazon.com/images/I/51A1mmrA2rL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 14 December 2021
5.0 out of 5 stars,Doctor Sahib,https://www.amazon.in/gp/customer-reviews/R1PXDFAW2O28U1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Great general purpose laptop,"It's a great general purpose laptop. I got it for 41.3k, and though its original configuration is fine too, I added 8gb additional RAM for 3.2k, so for 44.5k I've got a laptop that's blazingly fast for general use.
I don't use it for gaming, only for office work and as a home computer, and for that it's fantastic. Boot up time is 5-7 sec, shutdown is 2 sec, Windows 10 and MS Office are pre-installed with lifetime validity.
I have a similar HP 15 with the Ryzen 3 and though the specs on that are better on paper, the i3 version seems to be far better in real world performance.
All in all, a great buy.

Update: One month plus of regular use of around 10 hours a day and everything's still as great, no problems at all have come up in this duration.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 30 April 2021
4.0 out of 5 stars,Su,https://www.amazon.in/gp/customer-reviews/R1CY6PBWJSGWG2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Great product,"Nice stuff, only I have issue with the warranty, technically it should be from the date of purchase so it must be be upto Dec but when checked online it's upto August..
Keeping fingers crossed won't be a issue to extend warranty",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 28 January 2022
2.0 out of 5 stars,Md Wadud Alam,https://www.amazon.in/gp/customer-reviews/R3TXKUH02XN781/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Average product,Not for gaming and heavy use. But it's good for student and light work.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 12 December 2022
4.0 out of 5 stars,Sri,https://www.amazon.in/gp/customer-reviews/R2H7QT4YRYU73K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good laptop,"Reading good comments here, bought this. Been using this since 3 days, and I see slowness, installed only chrome. Chrome doesnt open fast, had to do some diagnostics to improve performance (marginal). I have now scheduled a technician visit, if that doesnt solve, I'm returning.

After writing this review, I see good performance :) not sure what changed. I believe, the OS was downloading stuff and optimising. Have been using this since a week now and no complaints",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 10 August 2021
4.0 out of 5 stars,JJ,https://www.amazon.in/gp/customer-reviews/R26YKAXUSBUW15/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good for office and normal use.,"System works smooth with 256,GB SSD and 8gb RAM.
Got Win 10 OEM and MS office Home & student active.
Booting up within 20sec.
Expected Graphic card of 8Gb AMD Radeon.
As it was mentioned in details but came with inbuilt Intel UHD graphic 4gb .. which was a disappointment.
Also expected 2 Usb port and 3.0 port but it has 2 usb 3.0 ports and 1 usb C port.
Haven't used for more than 2 days will update later.

Update after 2 weeks.. After all windows updates ,laptop performance has improved.. Gives a battery ackup of more than 6hrs with heavy use. Full charge within 2hrs.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 3 May 2021
4.0 out of 5 stars,Amazon Customer,https://www.amazon.in/gp/customer-reviews/R3J87VF7C6Z1LF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good,"Received package on time and in good condition. Started installing applications. It fine. No issues found. But I didn't observed a recovery partition. Don't know what to do if OS crashes.
No problems observed while installing applications. Speed good. Backup time not yet tested.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 28 December 2021
5.0 out of 5 stars,Marshall Jobber,https://www.amazon.in/gp/customer-reviews/R6EG9XRPCKI5S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Perfect value for what you pay,"It has given me everything at par what I was looking for in laptop as per my requirements, such as compact, light in weight, anti-glare display, perfect combination of system configuration..

One thing I couldn't understand is the delivery date was next day when I checked this on amazon and when I actually bought it next day; unexpectedly delivery date was changed to after a week. In addition, actually it was dispatched after 3 days of placing an order..",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 5 April 2022
5.0 out of 5 stars,Ajaay Shereen,https://www.amazon.in/gp/customer-reviews/R3FY32GRHBL4J2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Useful for daily usage. Not too useful if you want for gaming,"Two weeks since I got this product delivered. Daily usage is good. SSD makes sure of fast startup and system usage. Additionally the 1 TB HDD is useful for storage. Warranty is updated correctly once you setup. Some bloatware exist as you would expect from any laptop with pre-installed software. Some of the keys are a little hard to press, but not too much. The power and charging indicators at the sides might make people desiring for a better design.

There is no graphic card. While SSD might make game faster along with 8 GB RAM, lack of a dedicated graphic card means it's not that good with games.

All in all, it is a fine one if you want for daily usages or programming/study.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 29 June 2021
1.0 out of 5 stars,Amazon Customer,https://www.amazon.in/gp/customer-reviews/R116RPD49HCVN6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Never buy hp laptop,Worked pretty good till the warranty period...but now absolutely bad... everyday new problem occurs...,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 23 February 2023
4.0 out of 5 stars,Amitbhai Upadhyay,https://www.amazon.in/gp/customer-reviews/RLPRHXUT2M2D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4," Good laptop for daily normal use. After buying, first check waranty online.","Hp website shows 9 months warranty instead of12 months waranty. It may be second hand product / technical error. I share the issue with hp customer support. They assure me to solve the issue asap. But, Good laptop for daily normal or office use. But front webcam is too poor.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 12 September 2021
4.0 out of 5 stars,Suhas shekar,https://www.amazon.in/gp/customer-reviews/R2P7HNOGFFPL8X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Worth the cost,Good for money sometimes small glitches happens while using ms office but rest everything is fine. I recommend for this product.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 9 January 2022
5.0 out of 5 stars,A pal,https://www.amazon.in/gp/customer-reviews/RNCU61Y09MGR9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Great laptop,"Pros :-
1) Good processor speed under load.
2) Ssd performance is great, no slowdowns during windows update.
3) Camera and mic are ok ok.
4) Quite high fan speed due to which less heating issues and better stability at higher clocker rate
5) There is no bluetooth - wifi coexistence issue at 2.4 ghz.
6) Good loudness of the speaker.
7) Screen clarity is nice.
8) Trackpad also working good.
9) No driver issues.

Cons:-
1) Average battery life.
2) Viewing angles are not enough. For, single person, it's good.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 18 December 2021
5.0 out of 5 stars,Mikey,https://www.amazon.in/gp/customer-reviews/R2BHBHIPCDCF7X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Compact & Quick,"I received the laptop yesterday. Windows & MS Office are both preinstalled. The registration activation of MS Office was quite easy. Just a high speed Internet connection is required. I also subscribed to McAfee Anti virus as there was an offer bundled with hp laptops and it cost me just ₹199/- for the first year.
Windows too updated to 11 and the working seems to be fast as the laptop has an 8GB RAM & 512 GB SSD which I believe should suffice for my needs.
Overall a wonderful experience..
Would update in future..","https://m.media-amazon.com/images/I/71sbRDYdU6L.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 4 December 2021
5.0 out of 5 stars,Amazon Customer,https://www.amazon.in/gp/customer-reviews/R3RO7OHNY9DOEX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Very usedul,No complains … using for last 1year,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 24 October 2022
4.0 out of 5 stars,Avinash J.,https://www.amazon.in/gp/customer-reviews/R20QO5NHKC8VPA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good,"Good for very basic wfh activities. In hindsight, I would suggest the same configuration and the buy o365, as outlook is not included. Fan sound can be very loud at times. Like a takeoff. Again, very basic, but does the basic job.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 4 September 2021
5.0 out of 5 stars,Pramod Bankhele,https://www.amazon.in/gp/customer-reviews/R3BRZE2YJDSD5A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, A good deal for 43k in 2021,"Good value for money! Hybrid 256GB SSD + 1TB HDD gives fast booting helps on and off faster! Good standard 8GB RAM gives speed while multitasking and data reading, also it can upgradable to 16GB! Camera is also clear, dual speakers are good while attending online meetings and school lectures but not for watching films or listening music though one can easily attach Bluetooth headphones or speakers! Alexa comes inbuilt and mikes besides camera works superbly!
Negatives are- No fingerprint lock/unlock function, Anti glare makes screen darker while tilting and keyboard is without backlight.
Overall a good laptop for Schooling, working & occasional movie watching!",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 10 July 2021
4.0 out of 5 stars,sunny,https://www.amazon.in/gp/customer-reviews/R30TVPEF1CSH7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, You can go with it.,"Nice laptop, fast, little hang on playing asphaslt 11.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 21 February 2022
5.0 out of 5 stars,Sam Grey,https://www.amazon.in/gp/customer-reviews/R1C6JI9ZIEOQMA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, READ THIS FIRST,"Product is awesome just 1500 ra expensive as i was getting same from authorised dealer for rupees 43500 with bag which cost around 1000 rupees so basically laptop alone will cost 42500 and here on Amazon it is selling for around 44000 rupees however I purchased this because I was able to exchange my 9 year old laptop for 8750 rupees that's a steal for me. I paid 34244 rs net.

cons:

JUST 2 USB PORTS, SHOULD HAVE ATLEAST 3 ALSO THERE IS NO GAP BETWEEN THOSE 2 PORTS AND SOMTIMES ITS DIFFICULT TO PLUG TWO DEVICES TOGETHER.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 24 June 2021
4.0 out of 5 stars,Saurabh,https://www.amazon.in/gp/customer-reviews/R3MAMII9LDIH20/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, HP Intel I3 Laptop,Simply superb! Great performance from the I3 processor and 8 GB of RAM. Display and screen brightness are awesome. Furthermore it has great space from its 1 TB HDD. Overall an exemplary product at an affordable price. Unfortunately the only flaw was the tricky activation of Ms office package.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 1 August 2021
4.0 out of 5 stars,Amit kumar,https://www.amazon.in/gp/customer-reviews/RWD21H0K5VWKX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good,As expected,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 21 March 2022
4.0 out of 5 stars,Naveen P,https://www.amazon.in/gp/customer-reviews/R2UT448UVTE2AN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Performance.,"Laptop is lightweight. Seems to be cheap plastic. It is of a good speed now as windows seems to get slower over the period.
It makes big noise from processor fan which is surprising.
I am yet to review other options.
Screen seems to be nice.
Keyboard is not backlight and seems to be hard.
Soft touch is expected with technological advancement.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 12 July 2021
4.0 out of 5 stars,Sahadev s patade,https://www.amazon.in/gp/customer-reviews/R2KJLYHEDZGN9A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good but battery gets drained in 2-3 hours of use and gets heated up,Battery life is not so good ..And my laptop gets heated up after using for just one hour .. Haven't got the warrenty card with the dilevery of laptop,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 23 August 2021
4.0 out of 5 stars,nithin,https://www.amazon.in/gp/customer-reviews/RESYQPDQVIS9F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, BESTONE WITH IN HP LAPTOPS IN 42000,good laptop with reasonable price. this product as ssd with itb hard disk which is good within the price. very fast and comfortable. go for it...👍. without ssd i dont recommend as they also have product without ssd.,"https://images-na.ssl-images-amazon.com/images/I/811TiOAM7lL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 7 July 2021
4.0 out of 5 stars,Kishan,https://www.amazon.in/gp/customer-reviews/R1388D33P46N2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good for professional use.,"Good for professional use.
Not a gaming laptop.
Fast and no lags",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 16 November 2021
3.0 out of 5 stars,Pinak Pani Chaudhuri,https://www.amazon.in/gp/customer-reviews/RF6XNY29DVAYQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Need to invest some more,"System is ok , i think it is little overpriced. But it is very very slow. Installation was done by the technician. He then suggested to put SSD to make it faster, it costed me 2.5 k more.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 19 November 2021
4.0 out of 5 stars,sheena,https://www.amazon.in/gp/customer-reviews/R39Y2J9BJ67LQ9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good,Good one thing light weight and battery also,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 4 December 2021
3.0 out of 5 stars,Nilesh,https://www.amazon.in/gp/customer-reviews/R3EITDQNCQX9UF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Battery...... 🥲,"Battery performance is not so good,, but all things and features are very good in this laptop.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 26 January 2022
3.0 out of 5 stars,PRAKASH,https://www.amazon.in/gp/customer-reviews/R6U39TC5QZ2JW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, I received manufacturing defective product,"I received this product 10 min before my post
Sticking glue coming out from the screen bottom..","https://m.media-amazon.com/images/I/71nmZQ2CasL.88.jpg  
https://m.media-amazon.com/images/I/81di1Dz8jdL.88.jpg  
","https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 22 January 2022
4.0 out of 5 stars,CVJ,https://www.amazon.in/gp/customer-reviews/RHUGXV5BXVXZL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Excellent buy. Go for it.,Writing after 2 weeks of usage. System response and performance is excellent. Thanks to HP and amazon for timely delivery of excellent product.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 11 August 2021
3.0 out of 5 stars,Rafeeq Kaisar,https://www.amazon.in/gp/customer-reviews/R2UMN7TQTUJFNJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Numeric keypad problem,10 days after purchase of this product.. I found that sometimes 2 & 5 button in numeric keypad not working.. unable to resolve..,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 19 December 2021
5.0 out of 5 stars,Animesh,https://www.amazon.in/gp/customer-reviews/R3IPXV4EDUFUJX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Windows 11 free upgrade done,"I am really loving the performance of the lappy. Initially it was slow due to antivirus software, post removal and win11 upgrade it's running awesome. Pretty useful for small time school or college work. Not recommended for multitasking or heavy usage. Overall good for home usage, Alexa is an add on which really works well. thanks HP",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 29 November 2021
4.0 out of 5 stars,Yogendra,https://www.amazon.in/gp/customer-reviews/R2W46OIV18XXD6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good product,Processing little bit slow but acceptable......overall i m submitting it after 10 use ......I felt it is good product,"https://m.media-amazon.com/images/I/C1MAVmk9bOS.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 27 August 2021
4.0 out of 5 stars,Sandeep,https://www.amazon.in/gp/customer-reviews/R1UZ7EZ9VDYLL7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Value Product-when I purchased,"Battery Life could have been better, other than it's a perfect purchase for me. Amazing sound quality. Amazon has best customer support🙏",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Reviewed in India 🇮🇳 on 6 August 2021
